CSA,CSB,AUT,CSI,MFL,MDS,SDM,RAY,EPS,COM,ANG,STA,SHE
13,12.69,12,14.1,9.69,12.19,14.96,11.94,13,14.5,14,14.75,19
8.9,12.06,13.14,14.4,12.15,9.04,13.42,10.56,13,16.5,14,17.5,18
7.1,13.45,10.71,15.6,10.54,10.31,15.96,11.39,12,16.5,17.98,16.5,17
14.8,14.11,14.43,15.6,13.65,12.5,17.81,15.44,14.5,15.5,14,16.95,15
16.7,13.23,10.71,14.1,11.31,10.81,12.88,8.61,14,15.5,15,14.35,14
11.1,11.57,12.07,15.2,11.81,12.58,13.15,11.22,15,16.5,15,15,17.62
12.2,12.81,13.14,12.9,10.58,13.62,17.58,12,15.5,16,16.76,17,16.25
19,16.99,14.5,15.6,16.69,15.46,19.19,15.22,13.5,18.5,18.53,16,18
8.2,18.5,12.57,15.6,13.96,13.04,16.77,11.33,16,17,13,15,11.75
16.9,17,13.57,15.6,16.96,14.38,15.96,14.28,14,17,17.03,16.55,12.5
10.2,14.68,11,14.1,8.62,11.42,9.81,8.28,16.5,15.5,12.5,16.3,15
12.6,14.5,13.36,14.4,12.85,14.58,16.42,13.56,12,17.5,13.5,17,17.75
17.3,17.21,13,15.6,12.69,15.92,18.31,13.89,15,15.5,15,15.25,14
11.8,15.14,13.21,16.4,11.88,10.92,16.08,12.33,13,17.5,15.13,16.35,16.5
12.4,11.36,11.21,16.4,11.5,11.69,13.23,12.28,15,18,14,16.5,16
14.1,14.82,14.07,15.6,10,13.12,10.04,15.5,15,17.5,15,16.4,12
12.4,17.37,11.93,14.1,15.38,11.73,15.88,9.22,14.5,17.5,13,16.75,18.15
13.4,14.12,11.43,14.4,9.85,12.38,14.88,10.67,14.5,16.5,16.67,16.5,16
13.7,13.49,11,15.6,12.62,12.46,15.5,11.39,13,17,17.55,16.5,14
11.2,15.56,13.14,15.6,14.12,13.88,13.15,12,14.5,16,16.79,,10.5
16.2,14.57,8.93,11.1,12.35,13.92,17.35,10,14.5,17,15,16,15
7.3,9.79,10.29,14.1,10.12,9.12,8.92,10.72,13,15,16.4,14.5,12
7.3,14.46,9.71,14.1,9.31,12.27,14.5,11.94,12,17,15,,16.5
13.1,13.24,13.64,14.4,13.27,14.81,13.04,11.67,14,17.5,17.91,17.5,17.6
9.8,11,10.57,15.6,11.81,8.19,15.42,11.11,14.5,15.5,14.5,15.5,15
4.8,13.8,8.5,15.6,6.08,10.54,11.08,7.94,12,16.5,14.5,,15
9.3,10.71,10.43,15.2,10.42,12.35,16.31,14.5,14,15.5,15.78,14,13
13.3,12.43,12.79,16.4,11.12,15.92,14.31,13.61,15.5,15.5,14,16,14
9.6,11.43,10.79,16.4,9.23,11.54,12.08,11.06,14,16.5,8.5,,15
12.2,13.6,14.86,14.1,12.88,13.73,15.62,11.39,18.5,16.5,14,18,12
16.2,17.8,15.29,14.1,11.77,12.19,17.42,13.89,14.5,18,13.5,15.75,15
16.4,12.14,13.71,14.1,10.65,12.31,14.65,12.39,13,16,14,17,18
10.8,13.68,8.64,15.2,11.96,11.46,17.23,11.94,14,16.5,16.42,,12.5
11.2,16.19,10.57,12.9,10.77,13.62,12,15.06,13.5,16,16.89,16,14
19.3,15.91,17.57,16.4,16.73,17.19,19,15.33,15,17,10.5,16.65,15.25
15.5,14.14,11.93,15.6,11.19,8.96,12.08,11.67,17,17,16,,18
12.9,13,10.71,15.6,11.23,12.73,15.5,10.44,13,16.5,14,15,15
